referee_id,referee_name
218,Henry Landauer
219,Ferdinand Marschall
220,Abel Aguilar Elizalde
221,Ángel Norberto Coerezza
222,Ayrton Vieira de Moraes
223,Roger Machin
224,Antonio Ribeiro Saldanha
225,Vital Loraux
226,Rudolf Scheurer
227,Laurens van Ravens
228,Ángel Norberto Coerezza
229,José María Ortiz de Mendíbil
230,Arturo Yamasaki Maldonado
231,Antonio Sbardella
232,Rudi Glöckner
233,Rudolf Scheurer
234,Doğan Babacan
235,Youssou N'Diaye
236,Gerhard Schulenburg
237,Edison Peréz Núñez
238,Károly Palotai
239,Vicente Llobregat
240,Clive Thomas
241,Mahmoud Mustafa Kamel
242,Aurelio Angonese
243,Arie van Gemert
244,Omar Delgado Gómez
245,Jack Taylor
246,Werner Winsemann
247,Pavel Kazakov
248,Govindasamy Suppiah
249,Jafar Namdar
250,Alfonso González Archundía
251,Nicolae Rainea
252,Ramón Barreto Ruíz
253,Tony Boskovic
254,Erich Linemayr
255,Pablo Sánchez Ibáñez
256,Hans-Joachim Weyland
257,Armando Marques
258,Clive Thomas
259,Bobby Davidson
260,Ramón Barreto Ruíz
261,Vital Loraux
262,Rudolf Scheurer
263,Rudi Glöckner
264,Pavel Kazakov
265,Erich Linemayr
266,Jack Taylor
267,Kurt Tschenscher
268,Luis Pestarino
269,Aurelio Angonese
270,Jack Taylor
271,Ángel Norberto Coerezza
272,Nicolae Rainea
273,John Gordon
274,António Garrido
275,Károly Palotai
276,Clive Thomas
277,Alfonso González Archundía
278,Ulf Eriksson
279,Ramón Barreto Ruíz
280,Ángel Franco Martínez
281,Farouk Bouzo
282,Jean Dubach
283,Charles Corver
284,Sergio Gonella
285,Adolf Prokop
286,Youssou N'Diaye
287,Arnaldo Cézar Coelho
288,Jafar Namdar
289,César Guerrero Orosco
290,Abraham Klein
291,Robert Wurtz
292,Ferdinand Biwersi
293,Alojzy Jarguz
294,Erich Linemayr
295,John Gordon
296,Dušan Maksimović
297,Nicolae Rainea
298,Ulf Eriksson
299,Pat Partridge
300,Francis Rion
301,Ramón Barreto Ruíz
302,Károly Palotai
303,Abraham Klein
304,Ángel Franco Martínez
305,Juan Silvagno Cavanna
306,Robert Wurtz
307,Abraham Klein
308,Sergio Gonella
309,Vojtěch Christov
310,Michel Vautrot
311,Augusto Lamo Castillo
312,Franz Wöhrer
313,Ibrahim Youssef Al-Doy
314,David Socha
315,Enrique Labo Revoredo
316,António Garrido
317,Arturo Ithurralde
318,Juan Daniel Cardellino
319,Benjamin Dwomoh
320,Erik Fredriksson
321,Walter Eschweiler
322,Belaïd Lacarne
323,Luis Paulino Siles
324,Alexis Ponnet
325,Malcolm Moffat
326,Yousef Alghoul
327,Bruno Galler
328,Charles Corver
329,Henning Lund-Sørensen
330,Tony Boskovic
331,Myroslav Stupar
332,Tam Sun Chan
333,Mario Rubio Vázquez
334,Clive White
335,Nicolae Rainea
336,Bogdan Dotchev
337,Luis Barrancos
338,Damir Matovinović
339,Rómulo Méndez
340,Paolo Casarin
341,Gastón Castro
342,Bob Valentine
343,Gilberto Aristizábal
344,Héctor Ortiz
345,Károly Palotai
346,Luis Paulino Siles
347,Nicolae Rainea
348,Arnaldo Cézar Coelho
349,Adolf Prokop
350,Michel Vautrot
351,Mario Rubio Vázquez
352,Paolo Casarin
353,Alojzy Jarguz
354,Bob Valentine
355,Abraham Klein
356,Alexis Ponnet
357,Juan Daniel Cardellino
358,Charles Corver
359,António Garrido
360,Arnaldo Cézar Coelho
361,Erik Fredriksson
362,Chris Bambridge
363,Hernán Silva
364,Victoriano Sánchez Arminio
365,Luigi Agnolin
366,José Luis Martínez Bazán
367,Carlos Espósito
368,Valeri Butenko
369,Volker Roth
370,Edwin Picon-Ackong
371,Vojtěch Christov
372,Lajos Németh
373,Jan Keizer
374,Romualdo Arppi Filho
375,Fallaj Al-Shanar
376,Jamal Al-Sharif
377,Rómulo Méndez
378,Gabriel González
379,George Courtney
380,Horst Brummeier
381,Ali Bin Nasser
382,Jesús Díaz
383,Ioan Igna
384,Antonio Márquez Ramírez
385,Carlos Silva Valente
386,Idrissa Traoré
387,Berny Ulloa Morera
388,David Socha
389,Zoran Petrović
390,Bogdan Dotchev
391,André Daina
392,Alan Snoddy
393,Shizuo Takada
394,Siegfried Kirschen
395,Alexis Ponnet
396,Joël Quiniou
397,Romualdo Arppi Filho
398,Erik Fredriksson
399,Volker Roth
400,Luigi Agnolin
401,Carlos Espósito
402,Zoran Petrović
403,Jamal Al-Sharif
404,Jan Keizer
405,Ioan Igna
406,Jesús Díaz
407,Ali Bin Nasser
408,Siegfried Kirschen
409,Luigi Agnolin
410,Antonio Márquez Ramírez
411,George Courtney
412,Romualdo Arppi Filho
413,Michel Vautrot
414,Juan Daniel Cardellino
415,George Courtney
416,José Roberto Wright
417,Kurt Röthlisberger
418,Tullio Lanese
